Context,node1,node2,node3,node4
1,elastic-thinking,adaptability,paradigm-shift,creativity
2,elastic-thinking,rational-thinking,,
2,scripted-behaviour,elastic-thinking,rational-thinking,
3,reward-system,human-temperament,neophilia,
3,human-temperament,neophilia,,
4,neophilia,,,
5,epigenetics,adaptability,,
6,neophilia,,,
7,scripted-behaviour,mindfulness,,
8,mindfulness,focus,scripted-behaviour,
9,analytical-thinking,elastic-thinking,,
10,analytical-thinking,elastic-thinking,,
10,problem-solving,analytical-thinking,elastic-thinking,reward-system
11,problem-solving,,,
12,elastic-thinking,scripted-behaviour,emergence,
13,paradigm-shift,adaptability,,
14,problem-solving,,,
15,elastic-thinking,default-mode,,
16,default-mode,associative-thinking,,
17,associative-thinking,,,
18,rest,associative-thinking,creativity,
18,procrastination,creativity,,
19,left-right-brain,,,
20,left-right-brain,insight,,
20,problem-solving,left-right-brain,insight,
21,left-right-brain,problem-solving,,
22,insight,inflexible-thinking,creativity,
22,creativity,inflexible-thinking,,
23,inflexible-thinking,momentum-of-thought,,
23,functional-fixedness ,inflexible-thinking,momentum-of-thought,
24,inflexible-thinking,momentum-of-thought,,
25,frozen-thinking,critical-thinking,inflexible-thinking,
26,frozen-thinking,beginners-mind,,
27,problem-solving,inflexible-thinking,,
28,frozen-thinking,experts,beginners-mind,
28,experts,beginners-mind,,
29,inflexible-thinking,,,
30,cognitive-filter,,,
31,creativity,cognitive-filter,,
32,cognitive-filter,creativity,,
33,analytical-thinking,elastic-thinking,,
34,cognitive-filter,cannabis,,
35,cognitive-filter,alcohol,,
36,default-mode,lsd,psilocybin,
37,creativity,ayahuasca,,
38,analytical-thinking,elastic-thinking,,
39,elastic-thinking,happiness,,
