Context,node1,node2,node3,node4,node5,node6,node7,node8,node9
1,stress,internal-external-scale,,,,,,,
2,stress,immune-system,alertness,,,,,,
3,stress-response,distress,emotional-regulation,,,,,,
4,stressors,stress-response,cold-exposure,,,,,,
5,stress,stress-response,,,,,,,
5,stress-response,sympathetic-system,acetylcholine,epinephrine,,,,,
5,acetylcholine,movement,focus,epinephrine,,,,,
5,sympathetic-system,acetylcholine,,,,,,,
6,stress-response,movement,,,,,,,
7,sympathetic-system,parasympathetic-system,stress-response,,,,,,
7,parasympathetic-system,distress,mouth,vision,reproduction,,,,
7,distress,stress-response,,,,,,,
8,breathwork,heart-rate,lungs,,,,,,
9,stress-response,lungs,,,,,,,
10,stress,short-stress,medium-stress,long-stress,,,,,
11,stress-response,immune-system,cognition,movement,,,,,
11,stressors,infection,,,,,,,
12,stress-response,immune-system,epinephrine,,,,,,
13,breathwork,short-stress,emotional-regulation,,,,,,
13,stress-response,immune-system,alertness,,,,,,
14,stress-response,cognition,sleep,,,,,,
14,cognition,sleep,,,,,,,
15,short-stress,distress,medium-stress,long-stress,,,,,
16,distress,breathwork,meditation,,,,,,
16,emotional-regulation,breathwork,meditation,,,,,,
17,distress,physiological-sigh,emotional-regulation,,,,,,
17,physiological-sigh,heart-rate,lungs,mouth,parasympathetic-system,emotional-regulation,,,
18,brain,body,breathwork,,,,,,
19,vasovagal-response,heart-rate,distress,physiological-sigh,,,,,
20,medium-stress,stress-threshold,,,,,,,
20,stress-threshold,stressors,mental-calmness,emotional-regulation,,vision,,,
20,stressors,breathwork,cold-exposure,exercise,,,,,
21,heart-rate,hrv,long-stress,,,,,,
22,long-stress,sleep,exercise,social-connections,distress,,,,
22,emotional-regulation,sleep,exercise,social-connections,,,,,
22,distress,sleep,exercise,social-connections,serotonin,tachykinin,social-isolation,emotional-regulation,
22,emotional-regulation,sleep,exercise,social-connections,,,,,
23,serotonin,social-connections,emotional-regulation,,,,,,
24,oxytocin,social-connections,sex,emotional-regulation,,,,,
25,tachykinin,social-isolation,long-stress,immune-system,emotional-regulation,,,,
26,melatonin,sleep,distress,epinephrine,cortisol,emotional-regulation,,,
26,emotional-regulation,distress,,,,,,,
27,l-theanine,sleep,distress,emotional-regulation,,,,,
27,distress,emotional-regulation,,,,,,,
28,ashwagandha,distress,cortisol,emotional-regulation,,,,,
28,emotional-regulation,distress,,,,,,,
29,emotions,,,,,,,,
30,emotions,brain,body,food,emotional-regulation,,,,
30,food,emotional-regulation,,,,,,,
31,emotions,brain,body,,,,,,
32,vagus-nerve,brain,body,,,,,,
33,vagus-nerve,,,,,,,,
34,gut,sugar,fat,brain,vagus-nerve,,,,
34,brain,vagus-nerve,dopamine,cravings,,,,,
34,cravings,dopamine,fat,sugar,,,,,
34,sugar,blood-sugar,obesity,dopamine,,,,,
35,brain,noradrenaline,food,,,,,,
36,satiated,amino-acid,,,,,,,
37,dopamine,expectations,,,,,,,
38,dopamine,reward,mood,depression,,,,,
39,l-tyrosine,dopamine,food,brain-fog,,,,,
39,dopamine,cravings,motivation,emotional-regulation,,,,,
40,dopamine,l-dopa,parkinsons,,,,,,
41,dopamine,cocaine,methamphetamine,,,,,,
42,dopamine,motivation,,,,,,,
43,serotonin,content,dopamine,,,,,,
44,serotonin,food,rest-digest,,,,,,
45,tryptophan,serotonin,amino-acid,,,,,,
45,food,emotional-regulation,dopamine,serotonin,emotional-regulation,,,,
46,serotonin,5htp,,,,,,,
47,serotonin,satiated,,,,,,,
48,mucuna-pruriens,serotonin,l-dopa,prolactin,testosterone,emotional-regulation,,,
49,emotional-regulation,dopamine,serotonin,stress,motivation,,,,
50,omega3,omega6,mood,depression,hrv,emotional-regulation,,,
51,omega3,,,,,,,,
52,l-carnitine,meat,blood-brain-barrier,depression,autism,alcohol,pain,reproduction,emotional-regulation
53,blood-brain-barrier,blood-gonad-barrier,,,,,,,
54,microbiota,gut,brain,,,,,,
55,microbiota,mood,digestion,immune-system,mental-health,brain-fog,fermented-foods,emotional-regulation,
56,microbiota,saccharin,,,,,,,
57,microbiota,food,,,,,,,
58,processed-foods,food,,,,,,,
59,microbiota,fasting,,,,,,,
60,body,emotions,subjective-effect,,,,,,
61,emotions,motivation,reward,,,,,,
62,acetylcholine,focus,movement,,,,,,
62,dopamine,movement,motivation,,,,,,
63,dopamine,epinephrine,brain,prefrontal-cortex,impulsivity,,,,
63,prefrontal-cortex,impulsivity,,,,,,,
64,dopamine,motivation,movement,,,,,,
65,dopamine,food,sex,nicotine,cocaine,amphetamine,video-games,social-media,emotional-regulation
66,addiction,,,,,,,,
67,cravings,addiction,dopamine,,,,,,
68,serotonin,content,internal-external-scale,dopamine,,,,,
68,dopamine,internal-external-scale,,,,,,,
69,serotonin,dopamine,cannabis,,,,,,
69,blood-sugar,cannabis,,,,,,,
70,meditation,serotonin,dopamine,emotional-regulation,,,,,
70,serotonin,dopamine,,,,,,,
71,dopamine,serotonin,,,,,,,
72,dopamine,motivation,pleasure,,,,,,
73,procrastination,stress,coffee,breathwork,l-tyrosine,dopamine,mucuna-pruriens,,
74,dopamine,sex,prolactin,,,,,,
74,prolactin,sex,lethargy,vitamin-b6,zinc,,,,
74,refractory-period,prolactin,dopamine,vitamin-b6,zinc,,,,
75,dopamine,schizophrenia,movement,,,,,,
76,dopamine,expectations,,,,,,,
77,light,dopamine,,,,,,,
78,dopamine,motivation,pleasure,,,,,,
79,pea,serotonin,dopamine,emotional-regulation,,,,,
80,adhd,amphetamine,dopamine,prefrontal-cortex,impulsivity,,,,
80,prefrontal-cortex,impulsivity,,,,,,,
80,amphetamine,emotional-regulation,,,,,,,
81,obesity,impulsivity,,,,,,,
82,body,subjective-effect,,,,,,,
83,dopamine,coffee,mdma,methamphetamine,nicotine,,,,
84,dopamine,reward,witholding-celebration,emotional-regulation,,,,,
84,emotional-regulation,witholding-celebration,reward,,,,,,
85,emotions,,,,,,,,
86,emotions,arousal-scale,valence-scale,internal-external-scale,,,,,
86,arousal-scale,alertness,,,,,,,
87,mood-meter,emotions,,,,,,,
88,emotions,brain,emotional-development,,,,,,
89,emotions,brain,limbic-system,arousal-scale,valence-scale,internal-external-scale,,,
90,emotions,emotional-development,,,,,,,
90,emotional-development,internal-external-scale,babies,,,,,,
91,emotions,emotional-development,expectations,,,,,,
92,emotional-development,babies,social-connections,emotions,,,,,
93,social-connections,language,,,,,,,
94,emotional-regulation,internal-external-scale,social-media,,,,,,
95,internal-external-scale,,,,,,,,
96,internal-external-scale,,,,,,,,
97,internal-external-scale,focus,,,,,,,
98,internal-external-scale,emotions,,,,,,,
99,leptin,hormones,,,,,,,
100,puberty,leptin,hormones,brain,,,,,
101,hormones,pheromones,,,,,,,
102,pheromones,puberty,,,,,,,
103,kisspeptin,puberty,hormones,,,,,,
104,puberty,brain,emotions,,,,,,
105,puberty,emotional-development,social-connections,,,,,,
106,puberty,,,,,,,,
107,puberty,brain,emotional-development,,,,,,
108,puberty,emotional-development,,,,,,,
109,emotional-development,dopamine,serotonin,,,,,,
110,brain,language,,,,,,,
111,oxytocin,sex,empathy,,,,,,
112,brain,empathy,,,,,,,
113,oxytocin,empathy,social-connections,,,,,,
114,oxytocin,emotional-regulation,vitamin-d,melatonin,,,,,
115,vasopressin,emotional-regulation,cognition,alcohol,,,,,
116,vagus-nerve,alertness,emotional-regulation,dopamine,arousal-scale,,,,
